,video_id,comments
25,jZXVmwhwY98,"['💜brevity is indeed the soul of wit…Well,done!', '☺️😉❤️', '🥀 ... love it🥀 this is such an amazing shoot... Beautiful 🥀', 'She is so good']"
26,qoXEAnef10M,[]
27,P4JXMXypiic,"[""I wish I had this kid's problems..😒"", 'gang sta', 'Everything about this video is perfection', 'Chris Dior, thanks for everything <3', ""He's got calm dad energy.. love it"", 'I always like DIOR so i watch every video 💗⚡️', 'He is like Gang star', 'Would love to see your fashion']"
28,3ZKY2ZwUrG0,"['We want jisoooo', '100%kvalitu materiálů a výrobků', '👏👏👏👏👏❤️', '😍😍😍']"
29,x80s0jhoocI,"['I will love to join this job if i qualify of it.', '💜😍😍', 'Awesome designs. Hey, what is the name of the background song? I loved it.', 'At last something young, fresh and creative from Dior Homme collection 😍', 'Chefs kiss! Absolutely love the vibe, the details, the inspiration and the runway soundtrack! Adore this collection so much. Bravo 👏', '💖', 'Dior beautiful Men 💪👍👏💯📷.    Jisoo human Dior 💯 visual 💯👑👑', 'Amo Dior ❤️👅', '❤️❤️❤️', 'crazy awesome', 'I’ll wear Dior one day', '👏👏👏', 'Genial ! And good result .', 'Dior é só glamour. Classe e elegância da moda  em qualquer tempo, em qualquer estação. Um desfile de beleza marcado pelas nuances da pele e  variação dos trajes. Tudo valorizado por seus aromas e maquiagens.', 'Amazing work👏❤', 'Subbed for sticking with jonney 👊🏻🌟', 'Amei :)', ""I really love Dior's designs, and now I'm sincerely impressed with the innovative, outstanding and attractive creations in this new collection. It looks so sporty, dynamic and cool. Love it muchh❤"", '¡Absolutamente Maravilloso! \n¡Bellísima Colección! \n👏🏻👏🏻👏🏻👏🏻👏🏻 \n🌞🌊🌸💝😊', ""What a testament to where a collab can go... This could have been a disaster but it's utterly stunning.""]"
30,K__56TFMOAk,"['Sehunnnnnnnnn', 'I am waiting for jisso', 'Amazing 👏', '😍', 'Xtina!', 'Not me waiting for jisoo', 'Beautiful']"
31,-uqsrWCd8oM,"['nice', 'Hi my name is Marvin Michael Williams hi am a super fashion model hi love your collection and wish to do some work with you soon love it love it love it', 'Kétaine', 'So ugly......, this show cannot be worse', 'Excited to see these', 'lazy design.  looks very tired.', 'Super!!!👍', 'Damn This Legendary', 'mvb❤️', 'That was literally amazing, the color selection, the designs, everything was so visual pleasing', 'I be ready if i qualify to be a model in this international brand,  hope to get a good news soon.', 'Chefs kiss to the designs in this show', 'Nice video', '6:06 outfit is LOVE!!!!!!!!', 'Omg omg omg??!! I did not expected to hear My Bloody Valentine as part of the soundtrack!! Amazing 😍🖤', 'Yes!!!!! The heavy chained bags reminiscent of the wallet chains circa 1990s! The sneakers! The colors! LOVE 💘', 'https://youtube.com/shorts/uoMnd3h9MpE?feature=share', 'Il y a mon fiiiiiils', 'Thank you, Christian Dior!']"
32,Yl3yKthflP4,"[""I can't wait more"", 'Literally everyone on the planet is waiting for you 🤓☀️', '💜😍😍', '❤️', 'I worship Cara🙌👸🏻']"
33,6gDvXxav8Us,"['🤍', 'E', 'Best of the best!!!Bravo!', '💙', 'Art,dance and music is the soul of humanity. This is absolutely beautiful!', 'I also want to record these types of videos with dior in future I wish', '😍', 'This absolutely beautiful. I wanna be a lady like this. Gorgeous', 'They stand with Depp xx 💋', '(🕸️)', '(🌲)', '💗💗💗💗', ""It's gorgeous, I love it, thanks Dior!❤❤❤"", 'OMG! Simply fantastic and out of this world! Ethereal and mysterious.', '✨Mesmerizing choreography! Glorious costumes! Pure art from start to finish!🌙✨', 'Gorgeous is a understatement', 'Marvellous, magnifique, meraviglioso!!!!!!', 'Subbed and liked just for the integrity of your company for standing with Johnny Depp!', 'Passion for dance, unbelievable!! ❤', '(  Abbagnato )']"
34,ldHYB6OktCY,"['#MagicDior', 'Dior é puro glamour.  O magnetismo de sua produção move os impulsos de pessoas de bom gosto. Uma mistura perfeita de marketing visual completados pelos aromas de suas fragrâncias.', ""My grandfather and father they can't live without Dior perfumes and all the fragrances they buy start at 100$ and up😁🙃"", 'I love him', 'This Man Is so perfect!', 'I ❤️ Dior.', '🧐!', '🥰🥰🥰🥰', 'Switch', 'such a good outfit for the met !', '👏', 'This is Gilded Glamour', 'He should play a young Frank Sinatra. He has a lot of similar facial features and can sing and dance. Yeah I can see that', 'Love he’s dressed', 'In that thumbnail I thought for a moment it was a young Sean Connery....', 'gosh why is he so attractive', ""Thomas looked extra dapper in the tux. He's such a dream."", 'handsome Prince Thomas', 'Beautiful']"
35,phV2tDKTWXc,['This is beautiful']
36,hs_o-DDH3e4,"[""She's so beautiful"", 'she is so beautiful', 'Beautiful Jisoo🤍', ""I don't understand what is the language she speak"", '❤❤❤Jisoo ❤❤❤', 'cute', 'She is so pretty', ""She's very elegant"", 'prettyyyyyy', 'We very proud of you chu..and thankyu for @dior making chu like a queen and family ❤️😘', 'love it!!', 'Jisoo she is a very beautiful girl and very successful<33', '💜💜💜💜💜', 'Aww her deep voice😥😍', 'QUEEN DIOR❤️', 'Jisoo is Lady Dior, i love her so much', '🖤❤️', 'Beautiful', '🤣🤣🤣🤣🤣🤣', ""I'm a hardcore blink but guys c'mon this looks so fake.""]"
37,sceuYM14oXE,"['I love her 🙈😍', 'Yup, all that and a shit load of cocaine. Stay classy Cara lol', 'La seule quo soit elle même et naturelle avec des paupières dorées..!!!', 'Saludos desde Nicaragua, ojalá aquí hubiera una tienda Dior 🥺🤍', 'Beleza pura,,', 'On theme. Cool', 'Gorgeous!', 'Каре будет очень хорошо со светлыми бровями', ""J'aDIOR ! 🌺"", '🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸😊😊😊😊😊😘😘😘😘😘😘😘😘', 'I love her to death', '🥰😘🤪🍄😘😘😘', 'Cara Delevingne es realmente hermosa!', 'Can I get a hi from Dior?', 'hi', 'I love Dior', '😍']"
38,-uIZ9xrWofU,"['Gracias DIOR', 'Kim jones is the best asset  LVMH has', 'WOwo♥♥♥', 'Slay']"
39,cJF1eWNQTYQ,"['Song?', ""I love ittt ......\n\nI also love they way hiw tbey showed tbe process. \n\nI'm a big fan of Dior.\n\n😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍"", 'really like, very satisfied!', 'Omg so gorgeous', ""I love lady Dior bag that was amazing ❤️ and it's very beautiful ❤️"", 'Love love love 💕', 'We love Johnny', 'wow', '1.', 'Dior大好きです❣️', 'Absolutely Beautiful', 'I love it❤']"
40,YVja5XWC0Nk,"['💛💛💛', ""I am a Venetian girl, I grew up in Venice and it's amazing to know that a lot of wonderful people care sincerely about this gorgeous city that I love so much. Thanks a lot to Dior and Teatro La Fenice! Ciao da Venezia! Un bacio!"", 'The classe . Incomparable .', '🇺🇸🇺🇸🇺🇸🇺🇸😊😊🇺🇸🇺🇸😊😊😊🇺🇸🇺🇸🇺🇸😘😘😘', '⭐️⭐️⭐️🌺⭐️', 'Christian Dior para sempre em meu coração. Belos comercias, qualidade ímpar. Dior Sauvage com Johnny Depp. Justiça por JD.', 'Wow amazing 😲✌️ interesting style cool yo 😎😲😊😁🙈✌️', 'DIOR Venezia Peter Marino 🏌️\u200d♂️👏🇧🇷', '🏌️\u200d♂️👏🇧🇷', '5:25 artisticas son unos QUINZAA.Monster muchas y un buen ejercicio. Saludos desdel la Cd. de world 🌹😉💖', '💜💜💜', 'I got to know more about dior after being a fan of Kim Jisoo..❤️ Everything about Dior is Amazing ❤️✨', '아름답습니다~😊🫂👏💜🌈🎁🦋', 'I also want to become fashion designer', 'Jadore🤌💋🥂✨', 'New dior building is amazing I want to work there']"
41,L_vNE7hVhZg,"['💕', 'Team JD', 'Thx Dior,JD Team.', 'What’s the song?', 'Such a cool video!', 'Wow style 😲😊😎✌️', 'I will wait new Dior fragrance', 'We love anything Dior *justice for Johnny*', '#JusticeForJohnnyDepp ♥️', '👏💙', 'Forte coerência,,,', 'Dior convida Johnny Depp para outras publicidades. Amei. Qualidade impecável. Christian Dior forever ! Christian Dior Sauvage Johnny Depp.', '✌️', '😍']"
